R27-126-106, curden = 331521573.696797
R27-126-107, curden = 285060914.973858
R27-126-108, curden = 234247882.115432
R27-126-109, curden = 189226436.425203
R27-126-110, curden = 146812369.681855
R27-126-111, curden = 108074906.672380
R27-126-112, curden = 72952898.042484
R27-126-113, curden = 47681873.558506
R27-126-114, curden = 8551718.035776
R27-126-115, curden = -20765359.281914
R27-126-116, curden = -59963229.848925
R27-126-117, curden = -99168042.243236
R27-126-118, curden = -148919416.880085
R27-126-119, curden = -206427517.857358
R27-126-120, curden = -232913213.360774
R27-126-121, curden = -287745016.615965
R27-126-122, curden = -362151517.336911
R27-126-123, curden = -420871697.568798
R27-126-124, curden = -505227067.720020
R27-126-125, curden = -590067293.193689
R27-126-126, curden = -651833519.053021
R27-126-127, curden = -696063568.382951
R27-126-128, curden = -716791972.557419
R27-126-129, curden = -689038247.605557
R27-126-130, curden = -589210974.431065
R27-126-131, curden = -22433402517.496536
R27-126-132, curden = 0.000000
R27-127-100, curden = 0.000000
R27-127-101, curden = 290852163.090783
R27-127-102, curden = 378505629.161087
R27-127-103, curden = 386582758.771699
R27-127-104, curden = 373457452.402078
R27-127-105, curden = 332392324.194957
R27-127-106, curden = 306012668.923459
R27-127-107, curden = 276212408.959816
R27-127-108, curden = 222229108.941157
R27-127-109, curden = 194949654.869849
R27-127-110, curden = 138327735.060349
R27-127-111, curden = 103543203.816148
R27-127-112, curden = 70546155.503146
R27-127-113, curden = 40987995.409085
R27-127-114, curden = 7849861.208635
R27-127-115, curden = -30330736.353026
R27-127-116, curden = -67581419.812795
R27-127-117, curden = -117723743.722767
R27-127-118, curden = -160944013.297503
R27-127-119, curden = -208688826.270367
R27-127-120, curden = -243367367.404814
R27-127-121, curden = -307072767.026890
R27-127-122, curden = -369597264.581282
R27-127-123, curden = -439628552.158586
R27-127-124, curden = -507461477.731111
R27-127-125, curden = -581686984.733462
R27-127-126, curden = -649394713.632439
R27-127-127, curden = -670960236.490967
R27-127-128, curden = -705509304.745998
R27-127-129, curden = -671597888.925358
R27-127-130, curden = -584122349.699584
R27-127-131, curden = -26199026405.109848
R27-127-132, curden = 0.000000
R27-128-100, curden = 0.000000
R27-128-101, curden = 258189054.226166
R27-128-102, curden = 330289892.941298
R27-128-103, curden = 348011743.447451
R27-128-104, curden = 331723665.911934
R27-128-105, curden = 303230971.658037
R27-128-106, curden = 285365050.151897
R27-128-107, curden = 255139720.182582
R27-128-108, curden = 211161413.888929
R27-128-109, curden = 184895534.714259
R27-128-110, curden = 137811932.308176
R27-128-111, curden = 100866677.559108
R27-128-112, curden = 70968436.718400
R27-128-113, curden = 30977485.167805
R27-128-114, curden = 5586323.076120
R27-128-115, curden = -32971155.385637
R27-128-116, curden = -78966224.278728
R27-128-117, curden = -121085456.796545
R27-128-118, curden = -169572858.478486
R27-128-119, curden = -220952284.466194
R27-128-120, curden = -257163064.414084
R27-128-121, curden = -315894258.597660
R27-128-122, curden = -392122371.291382
R27-128-123, curden = -441160920.229158
R27-128-124, curden = -516049552.081967
R27-128-125, curden = -594791154.491097
R27-128-126, curden = -641457907.107959
R27-128-127, curden = -676708104.135304
R27-128-128, curden = -696527799.804306
R27-128-129, curden = -679157800.458328
R27-128-130, curden = -605694238.573037
R27-128-131, curden = -30207161206.153202
R27-128-132, curden = 0.067286
R27-129-100, curden = 0.000000
R27-129-101, curden = 228147211.987261
R27-129-102, curden = 300407564.266174
R27-129-103, curden = 315490607.751668
R27-129-104, curden = 289428365.018498
R27-129-105, curden = 278890682.030345
R27-129-106, curden = 266803076.385484
R27-129-107, curden = 241511783.002873
R27-129-108, curden = 197467782.574893
R27-129-109, curden = 171058767.763356
R27-129-110, curden = 136703682.831817
R27-129-111, curden = 94446761.181846
R27-129-112, curden = 68249257.192487
R27-129-113, curden = 26375027.247706
R27-129-114, curden = -569795.484324
R27-129-115, curden = -46879064.917359
R27-129-116, curden = -85220893.195606
R27-129-117, curden = -126832226.768341
R27-129-118, curden = -170679363.036034
R27-129-119, curden = -220778548.310254
R27-129-120, curden = -263814411.063348
R27-129-121, curden = -331587281.506969
R27-129-122, curden = -404658073.272685
R27-129-123, curden = -457805139.228600
R27-129-124, curden = -520453704.573677
R27-129-125, curden = -598644868.495280
R27-129-126, curden = -663828045.227004
R27-129-127, curden = -680794691.580292
R27-129-128, curden = -717706669.103721
R27-129-129, curden = -703573523.895890
R27-129-130, curden = -637382848.062767
R27-129-131, curden = -34244107165.371052
R27-129-132, curden = 0.000000
R27-130-100, curden = -0.067286
R27-130-101, curden = 207515382.504735
R27-130-102, curden = 274565669.962105
R27-130-103, curden = 278817403.712077
R27-130-104, curden = 263071540.712122
R27-130-105, curden = 272170104.908001
R27-130-106, curden = 244323834.306607
R27-130-107, curden = 221383412.740938
R27-130-108, curden = 194568832.152720
R27-130-109, curden = 158205685.517324
R27-130-110, curden = 136543305.941584
R27-130-111, curden = 89424683.295687
R27-130-112, curden = 62237468.802355
R27-130-113, curden = 21463228.805748
R27-130-114, curden = -184359.261760
R27-130-115, curden = -49291641.733864
R27-130-116, curden = -92857841.562872
R27-130-117, curden = -134245627.507813
R27-130-118, curden = -168836544.442732
R27-130-119, curden = -234614409.796076
R27-130-120, curden = -280789305.132602
R27-130-121, curden = -335484803.174317
R27-130-122, curden = -410857269.493535
R27-130-123, curden = -471876063.745031
R27-130-124, curden = -524611438.546152
R27-130-125, curden = -605855621.714141
R27-130-126, curden = -674110244.043681
